at_bats,average,era,first_place_votes,home_runs,innings,league,name,obp,ops,points,rbi,runs,saves,sb,slg,strike_outs,team,vote_share,walks,war,wins,year
449,.390,,17.0,24, ,AL,"Brett,George",.454,1.118,335.0,118,87,,15,.664,,KCR,85%,58,9.4,,1980
514,.300,,5.0,41, ,AL,"Jackson,Reggie",.398,.995,234.0,111,94,,1,.597,,NYY,60%,83,4.8,,1980
0,,2.27,4.0,0,99.0,AL,"Gossage,Rich",,,218.0,0,0,33,0,,103,NYY,56%,0,3.4,6,1980
705,.326,,1.0,3, ,AL,"Wilson,Willie",.357,.778,169.0,49,133,,79,.421,,KCR,43%,28,8.5,,1980
622,.352,,0.0,25, ,AL,"Cooper,Cecil",.387,.926,160.0,122,96,,17,.539,,MIL,41%,39,6.8,,1980
621,.300,,0.0,32, ,AL,"Murray,Eddie",.354,.873,106.0,116,100,,7,.519,,BAL,27%,54,4.5,,1980
519,.277,,1.0,14, ,AL,"Cerone,Rick",.321,.753,77.0,85,70,,1,.432,,NYY,20%,32,4.2,,1980
0,,3.09,0.0,0,128.1,AL,"Quisenberry,Dan",,,70.0,0,0,33,0,,37,KCR,18%,0,2.4,12,1980
0,,3.23,0.0,0,250.2,AL,"Stone,Steve",,,53.0,0,0,0,0,,149,BAL,14%,0,3.9,25,1980
591,.303,,0.0,9, ,AL,"Henderson,Rickey",.420,.820,51.0,53,111,,100,.399,,OAK,13%,117,8.8,,1980
656,.319,,0.0,19, ,AL,"Oliver,Al",.357,.838,31.0,117,96,,5,.480,,TEX,8%,39,3.5,,1980
628,.279,,0.0,35, ,AL,"Armas,Tony",.310,.810,29.0,109,87,,5,.500,,OAK,7%,29,5.9,,1980
645,.318,,0.0,9, ,AL,"Bumbry,Al",.392,.825,27.0,53,118,,44,.433,,BAL,7%,78,6.1,,1980
592,.304,,0.0,41, ,AL,"Oglivie,Ben",.362,.925,27.0,118,94,,11,.563,,MIL,7%,54,6.5,,1980
0,,2.53,0.0,0,284.1,AL,"Norris,Mike",,,10.0,0,0,0,0,,180,OAK,3%,0,5.9,22,1980
513,.294,,0.0,7, ,AL,"Randolph,Willie",.427,.834,10.0,46,99,,30,.407,,NYY,3%,119,6.6,,1980
611,.293,,0.0,23, ,AL,"Yount,Robin",.321,.840,8.0,87,121,,20,.519,,MIL,2%,26,7.1,,1980
490,.329,,0.0,17, ,AL,"Bell,Buddy",.379,.877,7.0,83,76,,3,.498,,TEX,2%,40,6.5,,1980
630,.333,,0.0,7, ,AL,"Rivers,Mickey",.353,.789,7.0,60,96,,18,.437,,TEX,2%,20,3.5,,1980
560,.300,,0.0,9, ,AL,"Trammell,Alan",.376,.779,6.0,65,107,,12,.404,,DET,2%,69,4.8,,1980
583,.304,,0.0,24, ,AL,"Singleton,Ken",.397,.882,4.0,104,85,,0,.485,,BAL,1%,92,4.0,,1980
528,.341,,0.0,0, ,AL,"Dilone,Miguel",.375,.807,2.0,40,82,,61,.432,,CLE,1%,28,3.0,,1980
585,.275,,0.0,25, ,AL,"Perez,Tony",.320,.786,2.0,105,73,,1,.467,,BOS,1%,41,0.7,,1980
415,.301,,0.0,12, ,AL,"Lynn,Fred",.383,.862,1.0,61,67,,12,.480,,BOS,0%,58,4.7,,1980
453,.305,,0.0,6, ,AL,"Wathan,John",.377,.783,1.0,58,57,,17,.406,,KCR,0%,50,2.7,,1980
548,.286,,24.0,48, ,NL,"Schmidt,Mike",.380,1.004,336.0,121,104,,12,.624,,PHI,100%,89,8.9,,1980
549,.264,,0.0,29, ,NL,"Carter,Gary",.331,.818,193.0,101,76,,3,.486,,MON,57%,58,6.5,,1980
612,.302,,0.0,11, ,NL,"Cruz,Jose",.360,.787,166.0,91,79,,36,.426,,HOU,49%,60,4.8,,1980
579,.294,,0.0,29, ,NL,"Baker,Dusty",.339,.842,138.0,97,80,,12,.503,,LAD,41%,43,4.6,,1980
101,.188,2.34,0.0,0,304.0,NL,"Carlton,Steve",.190,.388,134.0,6,7,0,0,.198,286,PHI,40%,1,10.1,24,1980
658,.304,,0.0,26, ,NL,"Garvey,Steve",.341,.808,131.0,106,78,,6,.467,,LAD,39%,36,3.1,,1980
577,.308,,0.0,17, ,NL,"Dawson,Andre",.358,.850,72.0,87,96,,34,.492,,MON,21%,44,6.8,,1980
572,.302,,0.0,25, ,NL,"Hendrick,George",.342,.840,50.0,109,73,,6,.498,,STL,15%,32,3.9,,1980
463,.268,,0.0,35, ,NL,"Horner,Bob",.307,.836,42.0,89,81,,3,.529,,ATL,13%,27,4.4,,1980
554,.309,,0.0,9, ,NL,"McBride,Bake",.342,.795,32.0,87,68,,13,.453,,PHI,10%,26,3.2,,1980
595,.321,,0.0,16, ,NL,"Hernandez,Keith",.408,.902,29.0,99,111,,14,.494,,STL,9%,86,6.7,,1980
569,.281,,0.0,33, ,NL,"Murphy,Dale",.349,.858,23.0,89,98,,9,.510,,ATL,7%,59,6.6,,1980
499,.309,,0.0,10, ,NL,"Cedeno,Cesar",.389,.854,14.0,73,71,,48,.465,,HOU,4%,66,5.1,,1980
77,.156,3.32,0.0,1,238.1,NL,"Bibby,Jim",.224,.457,11.0,7,6,0,0,.234,144,PIT,3%,6,3.7,19,1980
578,.324,,0.0,10, ,NL,"Buckner,Bill",.353,.810,11.0,68,69,,1,.457,,CHC,3%,30,1.5,,1980
8,.250,1.46,0.0,0,92.1,NL,"McGraw,Tug",.250,.500,10.0,1,0,20,0,.250,75,PHI,3%,0,4.7,5,1980
360,.250,,0.0,24, ,NL,"Bench,Johnny",.327,.810,7.0,68,52,,4,.483,,CIN,2%,41,3.4,,1980
437,.284,,0.0,22, ,NL,"Clark,Jack",.382,.900,6.0,82,77,,2,.517,,SFG,2%,74,4.7,,1980
80,.275,3.55,0.0,0,256.0,NL,"Niekro,Joe",.310,.647,3.0,10,7,0,0,.338,127,HOU,1%,4,1.8,20,1980
393,.338,,0.0,21, ,NL,"Easler,Mike",.396,.978,2.0,74,66,,5,.583,,PIT,1%,43,4.1,,1980
68,.088,2.51,0.0,1,229.1,NL,"Reuss,Jerry",.162,.309,2.0,3,4,3,0,.147,111,LAD,1%,6,5.1,18,1980
544,.294,,0.0,13, ,NL,"Griffey,Ken",.364,.818,1.0,85,89,,23,.454,,CIN,0%,62,3.9,,1980
521,.257,,0.0,4, ,NL,"LeFlore,Ron",.337,.700,1.0,39,95,,97,.363,,MON,0%,62,2.5,,1980
642,.301,,0.0,4, ,NL,"Richards,Gene",.363,.748,1.0,41,91,,61,.385,,SDP,0%,61,4.6,,1980
567,.224,,0.0,0, ,NL,"Scott,Rodney",.307,.600,1.0,46,84,,63,.293,,MON,0%,70,1.0,,1980
628,.296,,20.0,36, ,AL,"Baylor,Don",.371,.901,347.0,139,120,,22,.530,,CAL,89%,71,3.7,,1979
570,.295,,3.0,35, ,AL,"Singleton,Ken",.405,.938,241.0,111,93,,3,.533,,BAL,61%,109,5.3,,1979
645,.329,,2.0,23, ,AL,"Brett,George",.376,.939,226.0,107,119,,17,.563,,KCR,58%,51,8.6,,1979
531,.333,,0.0,39, ,AL,"Lynn,Fred",.423,1.059,160.0,122,116,,2,.637,,BOS,41%,82,8.9,,1979
619,.325,,0.0,39, ,AL,"Rice,Jim",.381,.977,124.0,130,117,,9,.596,,BOS,32%,57,6.4,,1979
0,,3.08,3.0,0,265.2,AL,"Flanagan,Mike",,,100.0,0,0,0,0,,190,BAL,26%,0,3.8,23,1979
557,.244,,0.0,45, ,AL,"Thomas,Gorman",.356,.895,87.0,123,97,,1,.539,,MIL,22%,98,4.8,,1979
534,.294,,0.0,30, ,AL,"Grich,Bobby",.365,.903,58.0,101,78,,1,.537,,CAL,15%,59,6.0,,1979
533,.291,,0.0,20, ,AL,"Porter,Darrell",.421,.905,52.0,112,101,,3,.484,,KCR,13%,121,7.6,,1979
670,.299,,0.0,18, ,AL,"Bell,Buddy",.327,.778,48.0,101,89,,5,.451,,TEX,12%,30,6.9,,1979
0,,1.57,0.0,0,143.0,AL,"Kern,Jim",,,25.0,0,0,29,0,,136,TEX,6%,0,6.1,13,1979
0,,2.65,0.0,0,142.2,AL,"Marshall,Mike",,,25.0,0,0,32,0,,81,MIN,6%,0,4.4,10,1979
606,.295,,0.0,25, ,AL,"Murray,Eddie",.369,.844,25.0,99,90,,10,.475,,BAL,6%,72,4.9,,1979
509,.326,,0.0,12, ,AL,"Downing,Brian",.418,.880,24.0,75,87,,3,.462,,CAL,6%,77,5.6,,1979
473,.321,,0.0,28, ,AL,"Lezcano,Sixto",.414,.987,18.0,101,84,,4,.573,,MIL,5%,77,5.6,,1979
621,.271,,0.0,24, ,AL,"Smalley,Roy",.353,.794,16.0,95,94,,2,.441,,MIN,4%,80,4.3,,1979
490,.318,,0.0,26, ,AL,"Kemp,Steve",.398,.941,15.0,105,88,,5,.543,,DET,4%,68,4.2,,1979
588,.315,,0.0,6, ,AL,"Wilson,Willie",.351,.771,15.0,49,113,,83,.420,,KCR,4%,28,6.3,,1979
0,,3.63,0.0,0,109.0,AL,"Clear,Mark",,,12.0,0,0,14,0,,98,CAL,3%,0,1.8,11,1979
584,.322,,0.0,9, ,AL,"Molitor,Paul",.372,.842,8.0,62,88,,33,.469,,MIL,2%,48,5.6,,1979
627,.278,,0.0,5, ,AL,"Burleson,Rick",.315,.683,7.0,60,93,,9,.368,,BOS,2%,35,3.8,,1979
0,,2.96,0.0,0,276.1,AL,"John,Tommy",,,5.0,0,0,0,0,,111,NYY,1%,0,5.5,21,1979
590,.308,,0.0,24, ,AL,"Cooper,Cecil",.364,.872,4.0,106,83,,15,.508,,MIL,1%,56,3.7,,1979
646,.279,,0.0,29, ,AL,"Horton,Willie",.326,.784,3.0,106,77,,1,.458,,SEA,1%,42,1.0,,1979
465,.297,,0.0,29, ,AL,"Jackson,Reggie",.382,.926,3.0,89,78,,9,.544,,NYY,1%,65,3.5,,1979
569,.290,,0.0,21, ,AL,"Ford,Dan",.333,.797,1.0,101,100,,8,.464,,CAL,0%,40,2.5,,1979
0,,2.78,0.0,0,236.1,AL,"Guidry,Ron",,,1.0,0,0,2,0,,201,NYY,0%,0,6.5,18,1979
338,.325,,0.0,10, ,AL,"Hargrove,Mike",.433,.933,1.0,56,60,,2,.500,,CLE,0%,63,2.9,,1979
610,.344,,4.0,11, ,NL,"Hernandez,Keith",.417,.930,216.0,105,116,,11,.513,,STL,64%,80,7.6,,1979
424,.281,,10.0,32, ,NL,"Stargell,Willie",.352,.904,216.0,82,60,,0,.552,,PIT,64%,47,2.5,,1979
597,.308,,4.0,34, ,NL,"Winfield,Dave",.395,.953,155.0,118,97,,15,.558,,SDP,46%,85,8.3,,1979
544,.307,,0.0,30, ,NL,"Parrish,Larry",.357,.909,128.0,82,83,,5,.551,,MON,38%,41,4.6,,1979
551,.318,,2.0,10, ,NL,"Knight,Ray",.360,.814,82.0,79,64,,4,.454,,CIN,24%,38,3.1,,1979
83,.120,3.00,1.0,0,263.2,NL,"Niekro,Joe",.140,.284,75.0,4,1,0,0,.145,119,HOU,22%,2,3.2,21,1979
12,.250,2.22,0.0,0,101.1,NL,"Sutter,Bruce",.308,.558,69.0,3,0,37,1,.250,110,CHC,21%,1,5.1,6,1979
15,.133,2.75,1.0,0,134.1,NL,"Tekulve,Kent",.188,.321,64.0,1,3,31,0,.133,75,PIT,19%,1,3.2,10,1979
590,.281,,0.0,16, ,NL,"Concepcion,Dave",.348,.764,63.0,84,91,,19,.415,,CIN,19%,64,4.9,,1979
622,.310,,0.0,25, ,NL,"Parker,Dave",.380,.906,56.0,94,109,,20,.526,,PIT,17%,67,6.7,,1979
532,.288,,0.0,48, ,NL,"Kingman,Dave",.343,.956,53.0,115,97,,4,.613,,CHC,16%,45,4.1,,1979
440,.302,,0.0,30, ,NL,"Foster,George",.386,.948,34.0,98,68,,0,.561,,CIN,10%,59,5.1,,1979
541,.253,,0.0,45, ,NL,"Schmidt,Mike",.386,.950,32.0,114,109,,9,.564,,PHI,10%,120,7.9,,1979
648,.315,,0.0,28, ,NL,"Garvey,Steve",.351,.848,30.0,110,92,,3,.497,,LAD,9%,37,2.9,,1979
695,.282,,0.0,8, ,NL,"Moreno,Omar",.333,.714,23.0,69,110,,77,.381,,PIT,7%,51,2.9,,1979
628,.331,,0.0,4, ,NL,"Rose,Pete",.418,.848,23.0,59,90,,20,.430,,PHI,7%,95,3.1,,1979
505,.283,,1.0,22, ,NL,"Carter,Gary",.338,.823,15.0,75,74,,3,.485,,MON,4%,40,6.0,,1979
560,.298,,1.0,14, ,NL,"Madlock,Bill",.355,.792,14.0,85,85,,32,.438,,TOT,4%,52,2.3,,1979
95,.126,2.71,0.0,2,292.1,NL,"Richard,J.R.",.134,.355,12.0,6,6,0,0,.221,313,HOU,4%,1,5.4,18,1979
123,.195,3.39,0.0,0,342.0,NL,"Niekro,Phil",.213,.457,11.0,12,10,0,0,.244,208,ATL,3%,1,7.7,21,1979
7,.286,1.77,0.0,0,91.1,NL,"Sambito,Joe",.583,1.012,9.0,2,1,22,0,.429,83,HOU,3%,5,3.5,8,1979
76,.158,3.14,0.0,2,215.0,NL,"Seaver,Tom",.169,.445,9.0,8,3,0,0,.276,131,CIN,3%,1,3.5,16,1979
464,.276,,0.0,22, ,NL,"Bench,Johnny",.364,.824,7.0,80,73,,4,.459,,CIN,2%,67,5.6,,1979
639,.275,,0.0,25, ,NL,"Dawson,Andre",.309,.777,6.0,92,90,,35,.468,,MON,2%,27,3.6,,1979
672,.314,,0.0,9, ,NL,"Templeton,Garry",.331,.790,5.0,62,105,,26,.458,,STL,1%,18,4.3,,1979
631,.304,,0.0,27, ,NL,"Matthews,Gary",.363,.865,4.0,90,97,,18,.502,,ATL,1%,60,4.4,,1979
396,.318,,0.0,3, ,NL,"Collins,Dave",.364,.765,3.0,35,59,,16,.402,,CIN,1%,27,1.6,,1979
487,.314,,0.0,33, ,NL,"Horner,Bob",.346,.898,1.0,98,66,,0,.552,,ATL,0%,22,2.5,,1979
677,.315,,20.0,46, ,AL,"Rice,Jim",.370,.970,352.0,139,121,,7,.600,,BOS,90%,58,7.6,,1978
0,,1.74,8.0,0,273.2,AL,"Guidry,Ron",,,291.0,0,1,0,0,,248,NYY,74%,0,9.6,25,1978
520,.290,,0.0,34, ,AL,"Hisle,Larry",.374,.906,201.0,115,96,,10,.533,,MIL,51%,67,5.3,,1978
486,.298,,0.0,22, ,AL,"Otis,Amos",.380,.905,90.0,96,74,,32,.525,,KCR,23%,66,7.4,,1978
642,.273,,0.0,24, ,AL,"Staub,Rusty",.347,.782,88.0,121,75,,3,.435,,DET,22%,76,1.5,,1978
587,.276,,0.0,27, ,AL,"Nettles,Graig",.343,.803,86.0,93,81,,1,.460,,NYY,22%,59,5.7,,1978
591,.255,,0.0,34, ,AL,"Baylor,Don",.332,.804,51.0,99,103,,22,.472,,CAL,13%,56,1.6,,1978
610,.285,,0.0,27, ,AL,"Murray,Eddie",.356,.836,50.0,95,85,,6,.480,,BAL,13%,70,4.3,,1978
571,.284,,0.0,20, ,AL,"Fisk,Carlton",.366,.841,49.0,88,94,,7,.475,,BOS,13%,71,5.9,,1978
520,.265,,0.0,18, ,AL,"Porter,Darrell",.358,.802,48.0,78,77,,0,.444,,KCR,12%,75,4.2,,1978
564,.333,,0.0,5, ,AL,"Carew,Rod",.411,.853,46.0,70,85,,27,.441,,MIN,12%,78,5.0,,1978
0,,2.36,0.0,0,293.1,AL,"Caldwell,Mike",,,41.0,0,0,1,0,,131,MIL,10%,0,8.2,22,1978
0,,2.01,0.0,0,134.1,AL,"Gossage,Rich",,,39.0,0,0,27,0,,122,NYY,10%,0,3.2,10,1978
525,.324,,0.0,14, ,AL,"Oliver,Al",.358,.848,26.0,89,65,,8,.490,,TEX,7%,31,3.6,,1978
518,.278,,0.0,6, ,AL,"Sundberg,Jim",.358,.739,24.0,58,54,,2,.380,,TEX,6%,64,5.4,,1978
666,.297,,0.0,12, ,AL,"LeFlore,Ron",.361,.766,21.0,62,126,,68,.405,,DET,5%,65,4.1,,1978
511,.274,,0.0,27, ,AL,"Jackson,Reggie",.356,.834,18.0,97,82,,14,.477,,NYY,5%,58,3.5,,1978
523,.277,,0.0,17, ,AL,"Yastrzemski,Carl",.367,.790,17.0,81,70,,4,.423,,BOS,4%,76,2.0,,1978
510,.294,,0.0,9, ,AL,"Brett,George",.342,.809,14.0,62,79,,23,.467,,KCR,4%,39,5.4,,1978
508,.262,,0.0,33, ,AL,"Thornton,Andre",.377,.893,12.0,105,97,,4,.516,,CLE,3%,93,5.4,,1978
472,.314,,0.0,6, ,AL,"Piniella,Lou",.361,.806,11.0,69,67,,3,.445,,NYY,3%,34,3.7,,1978
617,.297,,0.0,6, ,AL,"Munson,Thurman",.332,.705,9.0,71,73,,2,.373,,NYY,2%,35,3.3,,1978
568,.296,,0.0,5, ,AL,"Bostock,Lyman",.362,.740,8.0,71,74,,15,.379,,CAL,2%,59,2.8,,1978
0,,2.72,0.0,0,221.2,AL,"Gura,Larry",,,8.0,0,0,0,0,,81,KCR,2%,0,4.5,16,1978
0,,2.82,0.0,0,95.2,AL,"LaRoche,Dave",,,6.0,0,0,25,0,,70,CAL,2%,0,2.1,10,1978
541,.298,,0.0,22, ,AL,"Lynn,Fred",.380,.872,6.0,82,75,,3,.492,,BOS,2%,75,4.4,,1978
559,.265,,0.0,11, ,AL,"Rivers,Mickey",.302,.699,6.0,48,78,,25,.397,,NYY,2%,29,3.5,,1978
0,,2.60,0.0,0,141.2,AL,"Stanley,Bob",,,6.0,0,0,10,0,,38,BOS,2%,0,4.3,15,1978
518,.293,,0.0,14, ,AL,"Money,Don",.361,.801,5.0,54,88,,3,.440,,MIL,1%,48,4.8,,1978
499,.279,,0.0,3, ,AL,"Randolph,Willie",.381,.738,5.0,42,87,,36,.357,,NYY,1%,82,5.9,,1978
0,,2.99,0.0,0,268.1,AL,"Eckersley,Dennis",,,4.0,0,0,0,0,,162,BOS,1%,0,7.3,20,1978
623,.273,,0.0,16, ,AL,"McRae,Hal",.329,.757,4.0,72,90,,17,.429,,KCR,1%,51,1.1,,1978
472,.301,,0.0,22, ,AL,"Roberts,Leon",.364,.879,3.0,92,78,,6,.515,,SEA,1%,41,4.4,,1978
0,,3.09,0.0,0,192.1,AL,"Gale,Rich",,,2.0,0,0,0,0,,88,KCR,1%,0,2.9,14,1978
502,.293,,0.0,20, ,AL,"Singleton,Ken",.409,.871,2.0,81,67,,0,.462,,BAL,1%,98,4.7,,1978
626,.248,,0.0,5, ,AL,"Burleson,Rick",.295,.633,1.0,49,75,,8,.339,,BOS,0%,40,1.5,,1978
0,,3.65,0.0,0,239.0,AL,"Tanana,Frank",,,1.0,0,0,0,0,,137,CAL,0%,0,3.0,18,1978
581,.334,,21.0,30, ,NL,"Parker,Dave",.394,.979,320.0,117,102,,20,.585,,PIT,95%,57,7.0,,1978
639,.316,,0.0,21, ,NL,"Garvey,Steve",.353,.852,194.0,113,89,,10,.499,,LAD,58%,40,4.7,,1978
654,.294,,3.0,3, ,NL,"Bowa,Larry",.319,.689,189.0,43,78,,27,.370,,PHI,56%,24,5.8,,1978
447,.295,,0.0,29, ,NL,"Smith,Reggie",.382,.942,164.0,93,82,,12,.559,,LAD,49%,70,4.5,,1978
592,.306,,0.0,25, ,NL,"Clark,Jack",.358,.895,107.0,98,90,,15,.537,,SFG,32%,50,5.9,,1978
604,.281,,0.0,40, ,NL,"Foster,George",.360,.906,104.0,120,97,,4,.546,,CIN,31%,70,4.9,,1978
540,.265,,0.0,35, ,NL,"Luzinski,Greg",.388,.914,48.0,101,85,,8,.526,,PHI,14%,100,5.2,,1978
87,.092,2.73,0.0,0,260.2,NL,"Perry,Gaylord",.112,.227,45.0,3,5,0,0,.115,154,SDP,13%,2,3.8,21,1978
390,.295,,0.0,28, ,NL,"Stargell,Willie",.382,.949,39.0,97,60,,3,.567,,PIT,12%,50,3.1,,1978
587,.308,,0.0,24, ,NL,"Winfield,Dave",.367,.866,37.0,97,88,,21,.499,,SDP,11%,55,4.3,,1978
655,.302,,0.0,7, ,NL,"Rose,Pete",.362,.783,35.0,52,103,,13,.421,,CIN,10%,62,3.4,,1978
79,.076,2.79,0.0,1,258.0,NL,"Blue,Vida",.240,.366,33.0,2,8,0,0,.127,171,SFG,10%,16,6.2,18,1978
21,.095,2.33,0.0,0,135.1,NL,"Tekulve,Kent",.136,.232,23.0,0,1,31,0,.095,77,PIT,7%,1,3.3,8,1978
12,.167,2.52,0.0,0,107.1,NL,"Fingers,Rollie",.167,.333,16.0,2,0,37,0,.167,72,SDP,5%,0,2.5,6,1978
67,.149,2.71,0.0,0,236.0,NL,"Hooton,Burt",.230,.394,15.0,2,4,0,0,.164,104,LAD,4%,7,5.3,19,1978
587,.278,,0.0,17, ,NL,"Lopes,Davey",.355,.776,12.0,58,93,,45,.421,,LAD,4%,71,4.9,,1978
446,.323,,0.0,5, ,NL,"Buckner,Bill",.345,.765,8.0,74,47,,7,.419,,CHC,2%,18,0.9,,1978
120,.225,2.88,0.0,0,334.1,NL,"Niekro,Phil",.248,.506,8.0,10,5,1,0,.258,248,ATL,2%,3,10.4,19,1978
488,.301,,0.0,23, ,NL,"Burroughs,Jeff",.432,.961,7.0,77,72,,1,.529,,ATL,2%,117,4.6,,1978
13,.077,3.19,0.0,0,98.2,NL,"Sutter,Bruce",.200,.277,5.0,0,1,27,0,.077,106,CHC,1%,2,1.1,8,1978
598,.288,,0.0,11, ,NL,"Maddox,Garry",.332,.741,4.0,68,62,,33,.410,,PHI,1%,39,5.1,,1978
660,.295,,0.0,7, ,NL,"Cabell,Enos",.321,.720,2.0,71,92,,33,.398,,HOU,1%,22,2.8,,1978
435,.283,,0.0,12, ,NL,"Boone,Bob",.347,.772,1.0,62,48,,2,.425,,PHI,0%,46,3.6,,1978
616,.388,,12.0,14, ,AL,"Carew,Rod",.449,1.019,273.0,100,128,,23,.570,,MIN,70%,69,9.7,,1977
606,.312,,4.0,23, ,AL,"Cowens,Al",.361,.885,217.0,112,98,,16,.525,,KCR,55%,41,5.3,,1977
536,.328,,3.0,24, ,AL,"Singleton,Ken",.438,.945,200.0,99,90,,0,.507,,BAL,51%,107,5.7,,1977
644,.320,,1.0,39, ,AL,"Rice,Jim",.376,.969,163.0,114,104,,5,.593,,BOS,42%,53,5.2,,1977
589,.255,,2.0,37, ,AL,"Nettles,Graig",.333,.829,112.0,107,99,,2,.496,,NYY,29%,68,5.5,,1977
0,,2.17,1.0,0,137.0,AL,"Lyle,Sparky",,,79.0,0,0,26,0,,68,NYY,20%,0,3.7,13,1977
595,.308,,1.0,18, ,AL,"Munson,Thurman",.351,.813,70.0,100,85,,5,.462,,NYY,18%,39,4.9,,1977
536,.315,,1.0,26, ,AL,"Fisk,Carlton",.402,.922,67.0,102,106,,7,.521,,BOS,17%,75,7.0,,1977
525,.286,,1.0,32, ,AL,"Jackson,Reggie",.375,.925,67.0,110,93,,17,.550,,NYY,17%,74,4.5,,1977
0,,2.96,0.0,0,140.0,AL,"Campbell,Bill",,,65.0,0,0,31,0,,114,BOS,17%,0,4.7,13,1977
565,.326,,0.0,12, ,AL,"Rivers,Mickey",.350,.789,59.0,69,79,,22,.439,,NYY,15%,18,5.3,,1977
546,.302,,1.0,28, ,AL,"Hisle,Larry",.369,.902,54.0,119,95,,21,.533,,MIN,14%,56,5.1,,1977
564,.312,,0.0,22, ,AL,"Brett,George",.373,.905,51.0,88,105,,14,.532,,KCR,13%,55,7.6,,1977
531,.290,,0.0,30, ,AL,"Zisk,Richie",.355,.869,34.0,101,78,,0,.514,,CHW,9%,55,2.7,,1977
453,.291,,0.0,6, ,AL,"Sundberg,Jim",.365,.753,30.0,65,61,,2,.389,,TEX,8%,53,5.0,,1977
592,.264,,0.0,37, ,AL,"Bonds,Bobby",.342,.862,28.0,115,103,,41,.520,,CAL,7%,74,5.1,,1977
558,.296,,1.0,28, ,AL,"Yastrzemski,Carl",.372,.877,25.0,102,99,,11,.505,,BOS,6%,73,5.2,,1977
0,,2.82,0.0,0,210.2,AL,"Guidry,Ron",,,11.0,0,3,1,0,,176,NYY,3%,0,4.8,16,1977
0,,2.91,0.0,0,319.0,AL,"Palmer,Jim",,,9.0,0,0,0,0,,193,BAL,2%,0,7.3,20,1977
652,.325,,0.0,16, ,AL,"LeFlore,Ron",.363,.838,7.0,57,100,,39,.475,,DET,2%,37,3.0,,1977
585,.270,,0.0,31, ,AL,"Thompson,Jason",.347,.834,6.0,105,87,,0,.487,,DET,2%,73,3.9,,1977
663,.293,,0.0,3, ,AL,"Burleson,Rick",.338,.720,5.0,52,80,,13,.382,,BOS,1%,47,2.2,,1977
593,.265,,0.0,30, ,AL,"Hobson,Butch",.300,.789,4.0,112,77,,5,.489,,BOS,1%,27,0.9,,1977
641,.298,,0.0,21, ,AL,"McRae,Hal",.366,.881,3.0,92,104,,18,.515,,KCR,1%,59,4.8,,1977
0,,2.77,0.0,0,299.0,AL,"Ryan,Nolan",,,3.0,0,0,0,0,,341,CAL,1%,0,7.8,19,1977
584,.269,,0.0,33, ,AL,"Scott,George",.337,.837,3.0,95,103,,1,.500,,BOS,1%,57,2.4,,1977
593,.336,,0.0,14, ,AL,"Bostock,Lyman",.389,.897,2.0,90,104,,16,.508,,MIN,1%,51,5.9,,1977
0,,3.13,0.0,0,146.2,AL,"Johnson,Tom",,,2.0,0,0,15,0,,87,MIN,1%,0,2.5,16,1977
600,.287,,0.0,17, ,AL,"Chambliss,Chris",.336,.781,1.0,90,90,,4,.445,,NYY,0%,45,2.4,,1977
408,.297,,0.0,31, ,AL,"Gamble,Oscar",.386,.974,1.0,83,75,,1,.588,,CHW,0%,54,3.6,,1977
0,,3.04,0.0,0,292.2,AL,"Leonard,Dennis",,,1.0,0,0,1,0,,244,KCR,0%,0,5.6,20,1977
615,.320,,15.0,52, ,NL,"Foster,George",.382,1.013,291.0,149,124,,6,.631,,CIN,87%,61,8.4,,1977
554,.309,,9.0,39, ,NL,"Luzinski,Greg",.394,.988,255.0,130,99,,3,.594,,PHI,76%,80,4.2,,1977
637,.338,,0.0,21, ,NL,"Parker,Dave",.397,.927,156.0,88,107,,17,.531,,PIT,46%,58,7.4,,1977
488,.307,,0.0,32, ,NL,"Smith,Reggie",.427,1.003,112.0,87,104,,7,.576,,LAD,33%,104,6.1,,1977
97,.268,2.64,0.0,3,283.0,NL,"Carlton,Steve",.282,.684,100.0,15,7,0,0,.402,198,PHI,30%,2,7.0,23,1977
646,.297,,0.0,33, ,NL,"Garvey,Steve",.335,.834,98.0,115,91,,9,.498,,LAD,29%,38,3.8,,1977
20,.150,1.34,0.0,0,107.1,NL,"Sutter,Bruce",.227,.377,68.0,0,4,31,0,.150,129,CHC,20%,2,6.5,7,1977
564,.241,,0.0,30, ,NL,"Cey,Ron",.347,.797,60.0,110,77,,3,.450,,LAD,18%,93,3.6,,1977
516,.318,,0.0,21, ,NL,"Simmons,Ted",.408,.908,58.0,95,82,,2,.500,,STL,17%,79,5.2,,1977
544,.274,,0.0,38, ,NL,"Schmidt,Mike",.393,.967,48.0,101,114,,15,.574,,PHI,14%,104,8.9,,1977
507,.304,,0.0,26, ,NL,"Robinson,Bill",.337,.862,34.0,104,74,,12,.525,,PIT,10%,25,1.9,,1977
79,.177,2.78,0.0,1,220.1,NL,"John,Tommy",.205,.433,33.0,4,3,0,0,.228,123,LAD,10%,3,4.4,20,1977
621,.322,,0.0,8, ,NL,"Templeton,Garry",.336,.786,20.0,79,94,,28,.449,,STL,6%,15,3.7,,1977
20,.050,2.99,0.0,0,132.1,NL,"Fingers,Rollie",.050,.100,17.0,2,0,35,0,.050,113,SDP,5%,0,1.9,8,1977
